rank,game,prize,players,tournaments,month,year
47,Lichess,2000.0,9,2,6,2022
48,Dragon Ball FighterZ,1990.0,8,1,6,2022
49,BlazBlue: Central Fiction,1980.0,11,2,6,2022
50,Melty Blood: Type Lumina,1960.0,12,2,6,2022
51,Gears 5,1000.0,8,2,6,2022
52,Mortal Kombat 11,980.0,8,1,6,2022
53,Granblue Fantasy: Versus,970.0,8,1,6,2022
54,Age of Empires III,900.0,6,1,6,2022
55,Street Fighter III: 3rd Strike,900.0,8,1,6,2022
56,Age of Mythology,875.0,10,3,6,2022
57,FIFA Online 4,750.0,1,1,6,2022
58,Ultimate Marvel vs. Capcom 3,750.0,8,1,6,2022
59,Quake Champions,738.0,3,1,6,2022
60,BlazBlue: Cross Tag Battle,700.0,8,1,6,2022
61,Super Street Fighter II Turbo,580.0,3,1,6,2022
62,Soul Calibur VI,560.0,3,1,6,2022
63,Snapshot VR,500.0,9,1,6,2022
64,Capcom vs. SNK 2,480.0,3,1,6,2022
65,Age of Empires Online,450.0,4,4,6,2022
66,Def Jam: Fight for NY,360.0,3,1,6,2022
67,Halo Infinite,205.0,3,1,6,2022
68,Beat Saber,179.81,3,1,6,2022
1,Dota 2,6109050.0,480,19,7,2022
2,Rocket League,2341457.84,278,23,7,2022
3,Fortnite,2210000.0,221,17,7,2022
4,Apex Legends,2093861.74,236,9,7,2022
5,League of Legends: Wild Rift,2000000.0,132,1,7,2022
6,Arena of Valor,1685000.0,92,1,7,2022
7,Counter-Strike: Global Offensive,1538680.24,701,33,7,2022
8,FIFA 22,1201500.0,120,5,7,2022
9,Overwatch 2,1100000.0,124,3,7,2022
10,VALORANT,796082.34,309,13,7,2022
11,Call of Duty: Vanguard,530000.0,36,4,7,2022
12,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,378639.4,208,4,7,2022
13,Rainbow Six Siege,342331.17,315,10,7,2022
14,World of WarCraft,300000.0,28,2,7,2022
15,StarCraft II,281005.0,84,24,7,2022
16,Hearthstone,270000.0,155,2,7,2022
17,PLAYERUNKNOWN’S BATTLEGROUNDS,262161.98,370,10,7,2022
